sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,43.1,12.1028,55.2028,0.0,100.0,0.0,200.0,100.0,0.0,90.0,0.71,18561.58,12502.31,13061.75,24937.0,5500.0
1,2,50.0,-0.79,49.21,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,18561.58,12502.31,13061.75,24937.0,5500.0
1,3,-0.0,4.0351,4.0351,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,18561.58,12502.31,13061.75,24937.0,5500.0
1,4,-0.0,2.8995,2.8995,0.0,300.0,0.0,494.44,194.44,0.0,175.0,-0.0,18561.58,12502.31,13061.75,24937.0,5500.0
1,5,50.0,-0.6704,49.3296,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,49.33,18561.58,12502.31,13061.75,24937.0,5500.0
1,6,50.0,6.1398,56.1398,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,18561.58,12502.31,13061.75,24937.0,5500.0
2,1,43.1,10.1694,53.2694,0.0,100.0,0.0,200.0,100.0,0.0,90.0,0.48,17636.4,13197.78,13810.0,24406.0,4250.0
2,2,50.0,-0.5386,49.4614,50.0,200.0,10.0,100.0,-0.0,90.0,0.0,50.0,17636.4,13197.78,13810.0,24406.0,4250.0
2,3,-0.0,-5.7039,0.0,0.0,300.0,0.0,322.22,22.22,0.0,20.0,-0.0,17636.4,13197.78,13810.0,24406.0,4250.0
2,4,-0.0,-8.5774,0.0,0.0,300.0,0.0,500.0,200.0,0.0,200.0,-0.0,17636.4,13197.78,13810.0,24406.0,4250.0
2,5,50.0,-2.1145,47.8855,50.0,200.0,75.0,25.0,-0.0,100.0,100.0,50.0,17636.4,13197.78,13810.0,24406.0,4250.0
2,6,50.0,-8.5367,41.4633,40.0,100.0,0.0,0.0,0.0,100.0,0.0,43.58,17636.4,13197.78,13810.0,24406.0,4250.0
3,1,43.1,4.3957,47.4957,0.0,100.0,0.0,200.0,100.0,0.0,90.0,11.83,14138.81,11815.78,12428.0,25167.0,4250.0
3,2,50.0,-13.1491,36.8509,50.0,200.0,10.0,100.0,-0.0,90.0,0.0,50.0,14138.81,11815.78,12428.0,25167.0,4250.0
3,3,-0.0,1.769,1.769,0.0,300.0,0.0,322.22,22.22,0.0,20.0,-0.0,14138.81,11815.78,12428.0,25167.0,4250.0
3,4,-0.0,-2.5481,0.0,0.0,300.0,0.0,500.0,200.0,0.0,200.0,-0.0,14138.81,11815.78,12428.0,25167.0,4250.0
3,5,50.0,-17.7737,32.2263,50.0,200.0,0.0,25.0,-0.0,175.0,25.0,44.92,14138.81,11815.78,12428.0,25167.0,4250.0
