sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4862.22,9577.78,10190.0,29310.0,4250.0
1,1,43.1,12.1028,55.2028,43.1,100.0,0.0,200.0,100.0,0.0,90.0,43.81,14251.58,8192.31,8751.75,29247.0,5500.0
1,2,50.0,-0.79,49.21,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,14251.58,8192.31,8751.75,29247.0,5500.0
1,3,-0.0,4.0351,4.0351,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,14251.58,8192.31,8751.75,29247.0,5500.0
1,4,-0.0,2.8995,2.8995,0.0,300.0,0.0,494.44,194.44,0.0,175.0,-0.0,14251.58,8192.31,8751.75,29247.0,5500.0
1,5,50.0,-0.6704,49.3296,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,49.33,14251.58,8192.31,8751.75,29247.0,5500.0
1,6,50.0,6.1398,56.1398,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,14251.58,8192.31,8751.75,29247.0,5500.0
2,1,43.1,-0.5386,42.5614,43.1,100.0,0.0,200.0,100.0,0.0,90.0,48.23,12432.72,6373.06,6932.5,28115.0,5500.0
2,2,50.0,-5.7039,44.2961,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,12432.72,6373.06,6932.5,28115.0,5500.0
2,3,-0.0,-8.5774,0.0,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,12432.72,6373.06,6932.5,28115.0,5500.0
2,4,-0.0,-2.1145,0.0,0.0,300.0,0.0,494.44,194.44,0.0,175.0,-0.0,12432.72,6373.06,6932.5,28115.0,5500.0
2,5,50.0,-8.5367,41.4633,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,41.46,12432.72,6373.06,6932.5,28115.0,5500.0
2,6,50.0,4.3957,54.3957,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,12432.72,6373.06,6932.5,28115.0,5500.0
3,1,43.1,1.769,44.869,43.1,100.0,0.0,200.0,100.0,0.0,90.0,45.39,15269.26,4420.92,4769.25,32361.0,11911.0
3,2,50.0,-2.5481,47.4519,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,15269.26,4420.92,4769.25,32361.0,11911.0
3,3,-0.0,-17.7737,0.0,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,15269.26,4420.92,4769.25,32361.0,11911.0
3,4,-0.0,-12.6952,0.0,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,15269.26,4420.92,4769.25,32361.0,11911.0
3,5,50.0,14.1144,64.1144,50.0,200.0,100.0,25.0,0.0,75.0,0.0,64.11,15269.26,4420.92,4769.25,32361.0,11911.0
3,6,50.0,5.8504,55.8504,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,15269.26,4420.92,4769.25,32361.0,11911.0
4,1,43.1,17.6735,60.7735,43.1,100.0,0.0,200.0,100.0,0.0,90.0,43.1,13367.05,2997.81,3367.25,30848.0,11382.0
4,2,50.0,13.8172,63.8172,50.0,200.0,100.0,100.0,0.0,-0.0,90.0,63.82,13367.05,2997.81,3367.25,30848.0,11382.0
4,3,-0.0,4.0122,4.0122,0.0,300.0,0.0,300.0,0.0,0.0,90.0,-0.0,13367.05,2997.81,3367.25,30848.0,11382.0
4,4,-0.0,-10.18,0.0,0.0,300.0,0.0,394.44,94.44,0.0,175.0,-0.0,13367.05,2997.81,3367.25,30848.0,11382.0
4,5,50.0,-6.1312,43.8688,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,43.87,13367.05,2997.81,3367.25,30848.0,11382.0
4,6,50.0,19.6401,69.6401,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,13367.05,2997.81,3367.25,30848.0,11382.0
5,1,43.1,2.1623,45.2623,43.1,100.0,0.0,200.0,100.0,0.0,90.0,43.1,14918.3,-271.5,-81.5,30832.0,15761.0
5,2,50.0,1.2283,51.2283,50.0,200.0,100.0,100.0,0.0,-0.0,90.0,51.23,14918.3,-271.5,-81.5,30832.0,15761.0
5,3,-0.0,-1.2038,0.0,0.0,300.0,0.0,285.0,0.0,15.0,75.0,-0.0,14918.3,-271.5,-81.5,30832.0,15761.0
