sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,43.1,18.1542,61.2542,43.1,100.0,0.0,200.0,100.0,0.0,360.0,44.17,56629.46,32387.24,34625.0,116860.0,22000.0
1,2,50.0,-1.185,48.815,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,56629.46,32387.24,34625.0,116860.0,22000.0
1,3,-0.0,6.0527,6.0527,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,56629.46,32387.24,34625.0,116860.0,22000.0
1,4,-0.0,4.3493,4.3493,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,56629.46,32387.24,34625.0,116860.0,22000.0
1,5,50.0,-1.0056,48.9944,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,48.99,56629.46,32387.24,34625.0,116860.0,22000.0
1,6,50.0,9.2097,59.2097,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,56629.46,32387.24,34625.0,116860.0,22000.0
2,1,43.1,15.2542,58.3542,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.83,51078.39,34167.12,36616.0,113680.0,17000.0
2,2,50.0,-0.808,49.192,50.0,200.0,10.0,100.0,-0.0,90.0,0.0,50.0,51078.39,34167.12,36616.0,113680.0,17000.0
2,3,-0.0,-8.5558,0.0,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,51078.39,34167.12,36616.0,113680.0,17000.0
2,4,-0.0,-12.8661,0.0,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,51078.39,34167.12,36616.0,113680.0,17000.0
2,5,50.0,-3.1718,46.8282,50.0,200.0,75.0,25.0,-0.0,100.0,400.0,50.0,51078.39,34167.12,36616.0,113680.0,17000.0
2,6,50.0,-12.8051,37.1949,40.0,100.0,0.0,0.0,-0.0,100.0,0.0,40.37,51078.39,34167.12,36616.0,113680.0,17000.0
3,1,43.1,6.5935,49.6935,43.1,100.0,11.11,200.0,111.11,0.0,400.0,50.0,29610.56,25086.68,27620.0,104256.0,17222.0
3,2,50.0,-19.7236,30.2764,50.0,200.0,0.0,100.0,-0.0,100.0,0.0,37.94,29610.56,25086.68,27620.0,104256.0,17222.0
3,3,-0.0,2.6535,2.6535,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,29610.56,25086.68,27620.0,104256.0,17222.0
3,4,-0.0,-3.8221,0.0,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,29610.56,25086.68,27620.0,104256.0,17222.0
3,5,50.0,-26.6605,23.3395,50.0,200.0,0.0,25.0,-0.0,175.0,100.0,42.38,29610.56,25086.68,27620.0,104256.0,17222.0
