sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,43.1,10.1382,53.2382,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,19510.37,4352.17,4510.5,27028.0,16014.0
1,2,50.0,10.1382,60.1382,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,19510.37,4352.17,4510.5,27028.0,16014.0
1,3,-0.0,10.1382,10.1382,0.0,300.0,0.0,300.0,0.0,0.0,-0.0,-0.0,19510.37,4352.17,4510.5,27028.0,16014.0
1,4,-0.0,10.1382,10.1382,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,19510.37,4352.17,4510.5,27028.0,16014.0
1,5,50.0,10.1382,60.1382,50.0,200.0,100.0,25.0,0.0,75.0,0.0,60.14,19510.37,4352.17,4510.5,27028.0,16014.0
1,6,50.0,10.1382,60.1382,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,19510.37,4352.17,4510.5,27028.0,16014.0
2,1,43.1,3.0511,46.1511,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,18978.83,3820.42,3978.75,25610.0,15305.0
2,2,50.0,3.0511,53.0511,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,18978.83,3820.42,3978.75,25610.0,15305.0
2,3,-0.0,3.0511,3.0511,0.0,300.0,0.0,300.0,0.0,0.0,-0.0,-0.0,18978.83,3820.42,3978.75,25610.0,15305.0
2,4,-0.0,3.0511,3.0511,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,18978.83,3820.42,3978.75,25610.0,15305.0
2,5,50.0,3.0511,53.0511,50.0,200.0,100.0,25.0,0.0,75.0,0.0,53.05,18978.83,3820.42,3978.75,25610.0,15305.0
2,6,50.0,3.0511,53.0511,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,18978.83,3820.42,3978.75,25610.0,15305.0
3,1,43.1,8.1534,51.2534,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,19361.5,4202.92,4361.25,26630.0,15815.0
3,2,50.0,8.1534,58.1534,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,19361.5,4202.92,4361.25,26630.0,15815.0
3,3,-0.0,8.1534,8.1534,0.0,300.0,0.0,300.0,0.0,0.0,-0.0,-0.0,19361.5,4202.92,4361.25,26630.0,15815.0
3,4,-0.0,8.1534,8.1534,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,19361.5,4202.92,4361.25,26630.0,15815.0
3,5,50.0,8.1534,58.1534,50.0,200.0,100.0,25.0,0.0,75.0,0.0,58.15,19361.5,4202.92,4361.25,26630.0,15815.0
3,6,50.0,8.1534,58.1534,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,19361.5,4202.92,4361.25,26630.0,15815.0
4,1,43.1,-14.5789,28.5211,0.0,100.0,0.0,200.0,100.0,0.0,90.0,13.12,14522.12,12575.78,13188.0,26312.0,4250.0
4,2,50.0,-14.5789,35.4211,50.0,200.0,10.0,100.0,-0.0,90.0,0.0,50.0,14522.12,12575.78,13188.0,26312.0,4250.0
4,3,-0.0,-14.5789,0.0,0.0,300.0,0.0,322.22,22.22,0.0,20.0,-0.0,14522.12,12575.78,13188.0,26312.0,4250.0
4,4,-0.0,-14.5789,0.0,0.0,300.0,0.0,500.0,200.0,0.0,200.0,-0.0,14522.12,12575.78,13188.0,26312.0,4250.0
4,5,50.0,-14.5789,35.4211,50.0,200.0,0.0,25.0,-0.0,175.0,25.0,50.0,14522.12,12575.78,13188.0,26312.0,4250.0
4,6,50.0,-14.5789,35.4211,40.0,100.0,75.0,0.0,-0.0,25.0,0.0,50.0,14522.12,12575.78,13188.0,26312.0,4250.0
5,1,43.1,15.889,58.989,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,19941.68,4783.42,4941.75,28178.0,16589.0
5,2,50.0,15.889,65.889,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,19941.68,4783.42,4941.75,28178.0,16589.0
5,3,-0.0,15.889,15.889,0.0,300.0,0.0,300.0,0.0,0.0,-0.0,-0.0,19941.68,4783.42,4941.75,28178.0,16589.0
5,4,-0.0,15.889,15.889,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,19941.68,4783.42,4941.75,28178.0,16589.0
5,5,50.0,15.889,65.889,50.0,200.0,100.0,25.0,0.0,75.0,0.0,65.89,19941.68,4783.42,4941.75,28178.0,16589.0
5,6,50.0,15.889,65.889,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,19941.68,4783.42,4941.75,28178.0,16589.0
6,1,43.1,-19.8481,23.2519,0.0,100.0,0.0,200.0,100.0,0.0,90.0,17.86,12994.04,12101.78,12714.0,26786.0,4250.0
6,2,50.0,-19.8481,30.1519,50.0,200.0,10.0,100.0,-0.0,90.0,0.0,50.0,12994.04,12101.78,12714.0,26786.0,4250.0
6,3,-0.0,-19.8481,0.0,0.0,300.0,0.0,322.22,22.22,0.0,20.0,-0.0,12994.04,12101.78,12714.0,26786.0,4250.0
6,4,-0.0,-19.8481,0.0,0.0,300.0,0.0,500.0,200.0,0.0,200.0,-0.0,12994.04,12101.78,12714.0,26786.0,4250.0
6,5,50.0,-19.8481,30.1519,50.0,200.0,0.0,25.0,-0.0,175.0,25.0,50.0,12994.04,12101.78,12714.0,26786.0,4250.0
6,6,50.0,-19.8481,30.1519,40.0,100.0,75.0,0.0,-0.0,25.0,0.0,50.0,12994.04,12101.78,12714.0,26786.0,4250.0
