sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,43.1,18.8605,61.9605,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,20164.54,5006.17,5164.5,28772.0,16886.0
1,2,50.0,18.8605,68.8605,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,20164.54,5006.17,5164.5,28772.0,16886.0
1,3,-0.0,18.8605,18.8605,0.0,300.0,0.0,300.0,0.0,0.0,-0.0,-0.0,20164.54,5006.17,5164.5,28772.0,16886.0
1,4,-0.0,18.8605,18.8605,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,20164.54,5006.17,5164.5,28772.0,16886.0
1,5,50.0,18.8605,68.8605,50.0,200.0,100.0,25.0,0.0,75.0,0.0,68.86,20164.54,5006.17,5164.5,28772.0,16886.0
1,6,50.0,18.8605,68.8605,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,20164.54,5006.17,5164.5,28772.0,16886.0
2,1,43.1,9.6243,52.7243,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,19471.82,4313.17,4471.5,26924.0,15962.0
2,2,50.0,9.6243,59.6243,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,19471.82,4313.17,4471.5,26924.0,15962.0
2,3,-0.0,9.6243,9.6243,0.0,300.0,0.0,300.0,0.0,0.0,-0.0,-0.0,19471.82,4313.17,4471.5,26924.0,15962.0
2,4,-0.0,9.6243,9.6243,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,19471.82,4313.17,4471.5,26924.0,15962.0
2,5,50.0,9.6243,59.6243,50.0,200.0,100.0,25.0,0.0,75.0,0.0,59.62,19471.82,4313.17,4471.5,26924.0,15962.0
2,6,50.0,9.6243,59.6243,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,19471.82,4313.17,4471.5,26924.0,15962.0
3,1,43.1,8.5435,51.6435,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,19390.77,4232.17,4390.5,26708.0,15854.0
3,2,50.0,8.5435,58.5435,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,19390.77,4232.17,4390.5,26708.0,15854.0
3,3,-0.0,8.5435,8.5435,0.0,300.0,0.0,300.0,0.0,0.0,-0.0,-0.0,19390.77,4232.17,4390.5,26708.0,15854.0
3,4,-0.0,8.5435,8.5435,0.0,300.0,0.0,383.33,83.33,0.0,75.0,-0.0,19390.77,4232.17,4390.5,26708.0,15854.0
3,5,50.0,8.5435,58.5435,50.0,200.0,100.0,25.0,0.0,75.0,0.0,58.54,19390.77,4232.17,4390.5,26708.0,15854.0
3,6,50.0,8.5435,58.5435,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,19390.77,4232.17,4390.5,26708.0,15854.0
4,1,43.1,6.3048,49.4048,0.0,100.0,0.0,100.0,0.0,0.0,-0.0,-0.0,19222.86,4064.17,4222.5,26260.0,15630.0
4,2,50.0,6.3048,56.3048,50.0,200.0,100.0,100.0,0.0,0.0,0.0,50.0,19222.86,4064.17,4222.5,26260.0,15630.0
